iter	Passed	Remaining
0	5	5102
1	9	4962
2	14	4773
3	18	4719
4	23	4630
5	27	4574
6	31	4537
7	36	4467
8	40	4426
9	44	4368
10	48	4342
11	53	4368
12	57	4345
13	61	4311
14	65	4307
15	69	4287
16	73	4274
17	77	4251
18	82	4254
19	86	4233
20	90	4236
21	94	4222
22	99	4216
23	103	4195
24	107	4197
25	112	4216
26	116	4209
27	121	4207
28	125	4199
29	129	4198
30	134	4193
31	138	4189
32	143	4202
33	147	4189
34	151	4173
35	155	4162
36	159	4152
37	163	4146
38	168	4143
39	172	4143
40	176	4137
41	181	4135
42	185	4132
43	189	4122
44	194	4120
45	198	4114
46	203	4124
47	207	4115
48	211	4108
49	215	4100
50	219	4093
51	223	4082
52	227	4073
53	232	4071
54	236	4064
55	240	4055
56	244	4048
57	249	4045
58	253	4037
59	257	4031
60	261	4028
61	265	4023
62	270	4019
63	274	4017
64	278	4011
65	283	4005
66	287	3999
67	291	3993
68	295	3986
69	299	3984
70	303	3975
71	308	3972
72	312	3964
73	316	3962
74	320	3958
75	325	3955
76	330	3956
77	334	3953
78	338	3950
79	343	3948
80	347	3947
81	352	3948
82	357	3948
83	361	3946
84	366	3940
85	370	3942
86	375	3938
87	379	3933
88	383	3928
89	388	3927
90	392	3922
91	397	3921
92	402	3928
93	407	3924
94	411	3921
95	416	3917
96	420	3915
97	424	3909
98	429	3906
99	433	3901
100	437	3896
101	442	3894
102	447	3892
103	451	3889
104	455	3885
105	460	3884
106	464	3879
107	469	3879
108	474	3877
109	478	3874
110	483	3870
111	488	3869
112	492	3865
113	496	3862
114	501	3859
115	506	3857
116	511	3859
117	516	3858
118	520	3854
119	524	3848
120	528	3841
121	532	3833
122	536	3828
123	541	3825
124	546	3823
125	551	3824
126	556	3826
127	561	3826
128	567	3832
129	573	3834
130	578	3837
131	584	3841
132	589	3840
133	594	3839
134	599	3841
135	604	3842
136	609	3842
137	615	3847
138	621	3847
139	626	3851
140	632	3851
141	637	3853
